Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Other,494,Settled,94.48
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),84.95,Approved,84.95
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Jewelry - Fine,150,Approved,150
ABQ,Albuquerque International Sunport Airport,Frontier Airlines,Property Damage,Checked Baggage,Other,60.12,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Cameras - Digital,206,Denied,0
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checkpoint,"Clothing - Shoes, belts, accessories, etc.",64,Approved,64
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,588.49,Approved,588.49
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100,Approved,100
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Other,32.01,Approved,32.01
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,86,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150,Settled,50
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),41,Approved,41
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,175,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100,Denied,0
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,30,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Other,187.86,Approved,187.86
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,404.99,Denied,0
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,75,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Cameras - Digital,300,Denied,0
ABQ,Albuquerque International Sunport Airport,Frontier Airlines,Passenger Property Loss,Other,Other,281.02,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,DVD/CD Players,303.65,Settled,222.58
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Other,55.47,Denied,0
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,74.99,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),901,Approved,901
ABQ,Albuquerque International Sunport Airport,American West,Passenger Property Loss,Checked Baggage,Cameras - Digital,667.76,Settled,338.88
ABQ,Albuquerque International Sunport Airport,American West,Passenger Property Loss,Checked Baggage,Other,60,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,56.17,Approved,56.17
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),29.95,Settled,15
ABQ,Albuquerque International Sunport Airport,American West,Passenger Property Loss,Checked Baggage,Other,119,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,276.82,Settled,138.41
